Title,Author,Field,Field1,Tag_URL,Tag,Tag_URL2,Tag3,Tag_URL4,Tag5,Tag_URL6,Tag7
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,(about),https://quotes.toscrape.com/tag/friends/page/1/,friends,https://quotes.toscrape.com/tag/heartbreak/page/1/,heartbreak,https://quotes.toscrape.com/tag/inspirational/page/1/,inspirational,https://quotes.toscrape.com/tag/life/page/1/,life
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,(about),https://quotes.toscrape.com/tag/courage/page/1/,courage,https://quotes.toscrape.com/tag/friends/page/1/,friends,,,,
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,(about),https://quotes.toscrape.com/tag/simplicity/page/1/,simplicity,https://quotes.toscrape.com/tag/understand/page/1/,understand,,,,
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,https://quotes.toscrape.com/author/Bob-Marley,(about),https://quotes.toscrape.com/tag/love/page/1/,love,,,,,,
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,(about),https://quotes.toscrape.com/tag/fantasy/page/1/,fantasy,,,,,,
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,https://quotes.toscrape.com/author/Douglas-Adams,(about),https://quotes.toscrape.com/tag/life/page/1/,life,https://quotes.toscrape.com/tag/navigation/page/1/,navigation,,,,
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,https://quotes.toscrape.com/author/Elie-Wiesel,(about),https://quotes.toscrape.com/tag/activism/page/1/,activism,https://quotes.toscrape.com/tag/apathy/page/1/,apathy,https://quotes.toscrape.com/tag/hate/page/1/,hate,https://quotes.toscrape.com/tag/indifference/page/1/,indifference
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,https://quotes.toscrape.com/author/Friedrich-Nietzsche,(about),https://quotes.toscrape.com/tag/friendship/page/1/,friendship,https://quotes.toscrape.com/tag/lack-of-friendship/page/1/,lack-of-friendship,https://quotes.toscrape.com/tag/lack-of-love/page/1/,lack-of-love,https://quotes.toscrape.com/tag/love/page/1/,love
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,(about),https://quotes.toscrape.com/tag/books/page/1/,books,https://quotes.toscrape.com/tag/contentment/page/1/,contentment,https://quotes.toscrape.com/tag/friends/page/1/,friends,https://quotes.toscrape.com/tag/friendship/page/1/,friendship
“Life is what happens to us while we are making other plans.”,Allen Saunders,https://quotes.toscrape.com/author/Allen-Saunders,(about),https://quotes.toscrape.com/tag/fate/page/1/,fate,https://quotes.toscrape.com/tag/life/page/1/,life,https://quotes.toscrape.com/tag/misattributed-john-lennon/page/1/,misattributed-john-lennon,https://quotes.toscrape.com/tag/planning/page/1/,planning
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,https://quotes.toscrape.com/author/Pablo-Neruda,(about),https://quotes.toscrape.com/tag/love/page/1/,love,https://quotes.toscrape.com/tag/poetry/page/1/,poetry,,,,
“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,https://quotes.toscrape.com/author/Ralph-Waldo-Emerson,(about),https://quotes.toscrape.com/tag/happiness/page/1/,happiness,,,,,,
"“If you judge people, you have no time to love them.”",Mother Teresa,https://quotes.toscrape.com/author/Mother-Teresa,(about),https://quotes.toscrape.com/tag/attributed-no-source/page/1/,attributed-no-source,,,,,,
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,https://quotes.toscrape.com/author/Garrison-Keillor,(about),https://quotes.toscrape.com/tag/humor/page/1/,humor,https://quotes.toscrape.com/tag/religion/page/1/,religion,,,,
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,https://quotes.toscrape.com/author/Jim-Henson,(about),https://quotes.toscrape.com/tag/humor/page/1/,humor,,,,,,
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,(about),https://quotes.toscrape.com/tag/comedy/page/1/,comedy,https://quotes.toscrape.com/tag/life/page/1/,life,https://quotes.toscrape.com/tag/yourself/page/1/,yourself,,
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,(about),https://quotes.toscrape.com/tag/children/page/1/,children,https://quotes.toscrape.com/tag/fairy-tales/page/1/,fairy-tales,,,,
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,(about),,,,,,,,
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,(about),https://quotes.toscrape.com/tag/imagination/page/1/,imagination,,,,,,
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,https://quotes.toscrape.com/author/Bob-Marley,(about),https://quotes.toscrape.com/tag/music/page/1/,music,,,,,,
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,(about),https://quotes.toscrape.com/tag/learning/page/1/,learning,https://quotes.toscrape.com/tag/reading/page/1/,reading,https://quotes.toscrape.com/tag/seuss/page/1/,seuss,,
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,(about),https://quotes.toscrape.com/tag/dumbledore/page/1/,dumbledore,,,,,,
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,https://quotes.toscrape.com/author/Bob-Marley,(about),https://quotes.toscrape.com/tag/friendship/page/1/,friendship,,,,,,
“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa,https://quotes.toscrape.com/author/Mother-Teresa,(about),https://quotes.toscrape.com/tag/misattributed-to-mother-teresa/page/1/,misattributed-to-mother-teresa,https://quotes.toscrape.com/tag/paraphrased/page/1/,paraphrased,,,,
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,(about),https://quotes.toscrape.com/tag/death/page/1/,death,https://quotes.toscrape.com/tag/inspirational/page/1/,inspirational,,,,
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,https://quotes.toscrape.com/author/Charles-M-Schulz,(about),https://quotes.toscrape.com/tag/chocolate/page/1/,chocolate,https://quotes.toscrape.com/tag/food/page/1/,food,https://quotes.toscrape.com/tag/humor/page/1/,humor,,
“We read to know we're not alone.”,William Nicholson,https://quotes.toscrape.com/author/William-Nicholson,(about),https://quotes.toscrape.com/tag/misattributed-to-c-s-lewis/page/1/,misattributed-to-c-s-lewis,https://quotes.toscrape.com/tag/reading/page/1/,reading,,,,
“Any fool can know. The point is to understand.”,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,(about),https://quotes.toscrape.com/tag/knowledge/page/1/,knowledge,https://quotes.toscrape.com/tag/learning/page/1/,learning,https://quotes.toscrape.com/tag/understanding/page/1/,understanding,https://quotes.toscrape.com/tag/wisdom/page/1/,wisdom
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,https://quotes.toscrape.com/author/Jorge-Luis-Borges,(about),https://quotes.toscrape.com/tag/books/page/1/,books,https://quotes.toscrape.com/tag/library/page/1/,library,,,,
“It is never too late to be what you might have been.”,George Eliot,https://quotes.toscrape.com/author/George-Eliot,(about),https://quotes.toscrape.com/tag/inspirational/page/1/,inspirational,,,,,,
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,https://quotes.toscrape.com/author/George-R-R-Martin,(about),https://quotes.toscrape.com/tag/read/page/1/,read,https://quotes.toscrape.com/tag/readers/page/1/,readers,https://quotes.toscrape.com/tag/reading/page/1/,reading,https://quotes.toscrape.com/tag/reading-books/page/1/,reading-books
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,(about),https://quotes.toscrape.com/tag/books/page/1/,books,https://quotes.toscrape.com/tag/inspirational/page/1/,inspirational,https://quotes.toscrape.com/tag/reading/page/1/,reading,https://quotes.toscrape.com/tag/tea/page/1/,tea
“You believe lies so you eventually learn to trust no one but yourself.”,Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,(about),,,,,,,,
"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,(about),https://quotes.toscrape.com/tag/girls/page/1/,girls,https://quotes.toscrape.com/tag/love/page/1/,love,,,,
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,(about),https://quotes.toscrape.com/tag/life/page/1/,life,https://quotes.toscrape.com/tag/simile/page/1/,simile,,,,
“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,(about),https://quotes.toscrape.com/tag/love/page/1/,love,,,,,,
"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,(about),https://quotes.toscrape.com/tag/attributed-no-source/page/1/,attributed-no-source,,,,,,
“Only in the darkness can you see the stars.”,Martin Luther King Jr.,https://quotes.toscrape.com/author/Martin-Luther-King-Jr,(about),https://quotes.toscrape.com/tag/hope/page/1/,hope,https://quotes.toscrape.com/tag/inspirational/page/1/,inspirational,,,,
"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,(about),https://quotes.toscrape.com/tag/dumbledore/page/1/,dumbledore,,,,,,
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,https://quotes.toscrape.com/author/James-Baldwin,(about),https://quotes.toscrape.com/tag/love/page/1/,love,,,,,,
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,(about),https://quotes.toscrape.com/tag/friendship/page/1/,friendship,https://quotes.toscrape.com/tag/love/page/1/,love,,,,
“Do one thing every day that scares you.”,Eleanor Roosevelt,https://quotes.toscrape.com/author/Eleanor-Roosevelt,(about),https://quotes.toscrape.com/tag/attributed/page/1/,attributed,https://quotes.toscrape.com/tag/fear/page/1/,fear,https://quotes.toscrape.com/tag/inspiration/page/1/,inspiration,,
"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,(about),https://quotes.toscrape.com/tag/attributed-no-source/page/1/,attributed-no-source,,,,,,
"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,(about),https://quotes.toscrape.com/tag/music/page/1/,music,,,,,,
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,https://quotes.toscrape.com/author/Haruki-Murakami,(about),https://quotes.toscrape.com/tag/books/page/1/,books,https://quotes.toscrape.com/tag/thought/page/1/,thought,,,,
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils,https://quotes.toscrape.com/author/Alexandre-Dumas-fils,(about),https://quotes.toscrape.com/tag/misattributed-to-einstein/page/1/,misattributed-to-einstein,,,,,,
"“He's like a drug for you, Bella.”",Stephenie Meyer,https://quotes.toscrape.com/author/Stephenie-Meyer,(about),https://quotes.toscrape.com/tag/drug/page/1/,drug,https://quotes.toscrape.com/tag/romance/page/1/,romance,https://quotes.toscrape.com/tag/simile/page/1/,simile,,
“There is no friend as loyal as a book.”,Ernest Hemingway,https://quotes.toscrape.com/author/Ernest-Hemingway,(about),https://quotes.toscrape.com/tag/books/page/1/,books,https://quotes.toscrape.com/tag/friends/page/1/,friends,https://quotes.toscrape.com/tag/novelist-quotes/page/1/,novelist-quotes,,
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,https://quotes.toscrape.com/author/Helen-Keller,(about),https://quotes.toscrape.com/tag/inspirational/page/1/,inspirational,,,,,,
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,https://quotes.toscrape.com/author/George-Bernard-Shaw,(about),https://quotes.toscrape.com/tag/inspirational/page/1/,inspirational,https://quotes.toscrape.com/tag/life/page/1/,life,https://quotes.toscrape.com/tag/yourself/page/1/,yourself,,
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Charles Bukowski,https://quotes.toscrape.com/author/Charles-Bukowski,(about),https://quotes.toscrape.com/tag/alcohol/page/1/,alcohol,,,,,,
“You don’t forget the face of the person who was your last hope.”,Suzanne Collins,https://quotes.toscrape.com/author/Suzanne-Collins,(about),https://quotes.toscrape.com/tag/the-hunger-games/page/1/,the-hunger-games,,,,,,
"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins,https://quotes.toscrape.com/author/Suzanne-Collins,(about),https://quotes.toscrape.com/tag/humor/page/1/,humor,,,,,,
"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,(about),https://quotes.toscrape.com/tag/love/page/1/,love,,,,,,
“Not all those who wander are lost.”,J.R.R. Tolkien,https://quotes.toscrape.com/author/J-R-R-Tolkien,(about),https://quotes.toscrape.com/tag/bilbo/page/1/,bilbo,https://quotes.toscrape.com/tag/journey/page/1/,journey,https://quotes.toscrape.com/tag/lost/page/1/,lost,https://quotes.toscrape.com/tag/quest/page/1/,quest
"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,(about),https://quotes.toscrape.com/tag/live-death-love/page/1/,live-death-love,,,,,,
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway,https://quotes.toscrape.com/author/Ernest-Hemingway,(about),https://quotes.toscrape.com/tag/good/page/1/,good,https://quotes.toscrape.com/tag/writing/page/1/,writing,,,,
“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson,https://quotes.toscrape.com/author/Ralph-Waldo-Emerson,(about),https://quotes.toscrape.com/tag/life/page/1/,life,https://quotes.toscrape.com/tag/regrets/page/1/,regrets,,,,
“I have never let my schooling interfere with my education.”,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,(about),https://quotes.toscrape.com/tag/education/page/1/,education,,,,,,
“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,(about),https://quotes.toscrape.com/tag/troubles/page/1/,troubles,,,,,,
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,https://quotes.toscrape.com/author/Alfred-Tennyson,(about),https://quotes.toscrape.com/tag/friendship/page/1/,friendship,https://quotes.toscrape.com/tag/love/page/1/,love,,,,
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,https://quotes.toscrape.com/author/Charles-Bukowski,(about),https://quotes.toscrape.com/tag/humor/page/1/,humor,,,,,,
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,https://quotes.toscrape.com/author/Terry-Pratchett,(about),https://quotes.toscrape.com/tag/humor/page/1/,humor,https://quotes.toscrape.com/tag/open-mind/page/1/,open-mind,https://quotes.toscrape.com/tag/thinking/page/1/,thinking,,
"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,(about),https://quotes.toscrape.com/tag/humor/page/1/,humor,https://quotes.toscrape.com/tag/philosophy/page/1/,philosophy,,,,
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,https://quotes.toscrape.com/author/J-D-Salinger,(about),https://quotes.toscrape.com/tag/authors/page/1/,authors,https://quotes.toscrape.com/tag/books/page/1/,books,https://quotes.toscrape.com/tag/literature/page/1/,literature,https://quotes.toscrape.com/tag/reading/page/1/,reading
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,https://quotes.toscrape.com/author/George-Carlin,(about),https://quotes.toscrape.com/tag/humor/page/1/,humor,https://quotes.toscrape.com/tag/insanity/page/1/,insanity,https://quotes.toscrape.com/tag/lies/page/1/,lies,https://quotes.toscrape.com/tag/lying/page/1/,lying
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,https://quotes.toscrape.com/author/John-Lennon,(about),https://quotes.toscrape.com/tag/beatles/page/1/,beatles,https://quotes.toscrape.com/tag/connection/page/1/,connection,https://quotes.toscrape.com/tag/dreamers/page/1/,dreamers,https://quotes.toscrape.com/tag/dreaming/page/1/,dreaming
“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,https://quotes.toscrape.com/author/W-C-Fields,(about),https://quotes.toscrape.com/tag/humor/page/1/,humor,https://quotes.toscrape.com/tag/sinister/page/1/,sinister,,,,
“The question isn't who is going to let me; it's who is going to stop me.”,Ayn Rand,https://quotes.toscrape.com/author/Ayn-Rand,(about),,,,,,,,
“′Classic′ - a book which people praise and don't read.”,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,(about),https://quotes.toscrape.com/tag/books/page/1/,books,https://quotes.toscrape.com/tag/classic/page/1/,classic,https://quotes.toscrape.com/tag/reading/page/1/,reading,,
“Anyone who has never made a mistake has never tried anything new.”,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,(about),https://quotes.toscrape.com/tag/mistakes/page/1/,mistakes,,,,,,
"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,(about),https://quotes.toscrape.com/tag/humor/page/1/,humor,https://quotes.toscrape.com/tag/love/page/1/,love,https://quotes.toscrape.com/tag/romantic/page/1/,romantic,https://quotes.toscrape.com/tag/women/page/1/,women
"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,(about),https://quotes.toscrape.com/tag/integrity/page/1/,integrity,,,,,,
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,(about),https://quotes.toscrape.com/tag/books/page/1/,books,https://quotes.toscrape.com/tag/library/page/1/,library,https://quotes.toscrape.com/tag/reading/page/1/,reading,,
"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,(about),https://quotes.toscrape.com/tag/elizabeth-bennet/page/1/,elizabeth-bennet,https://quotes.toscrape.com/tag/jane-austen/page/1/,jane-austen,,,,
“Some day you will be old enough to start reading fairy tales again.”,C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,(about),https://quotes.toscrape.com/tag/age/page/1/,age,https://quotes.toscrape.com/tag/fairytales/page/1/,fairytales,https://quotes.toscrape.com/tag/growing-up/page/1/,growing-up,,
“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,(about),https://quotes.toscrape.com/tag/god/page/1/,god,,,,,,
“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,(about),https://quotes.toscrape.com/tag/death/page/1/,death,https://quotes.toscrape.com/tag/life/page/1/,life,,,,
“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,(about),https://quotes.toscrape.com/tag/misattributed-mark-twain/page/1/,misattributed-mark-twain,https://quotes.toscrape.com/tag/truth/page/1/,truth,,,,
"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,(about),https://quotes.toscrape.com/tag/christianity/page/1/,christianity,https://quotes.toscrape.com/tag/faith/page/1/,faith,https://quotes.toscrape.com/tag/religion/page/1/,religion,https://quotes.toscrape.com/tag/sun/page/1/,sun
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,(about),https://quotes.toscrape.com/tag/truth/page/1/,truth,,,,,,
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,https://quotes.toscrape.com/author/Jimi-Hendrix,(about),https://quotes.toscrape.com/tag/death/page/1/,death,https://quotes.toscrape.com/tag/life/page/1/,life,,,,
“To die will be an awfully big adventure.”,J.M. Barrie,https://quotes.toscrape.com/author/J-M-Barrie,(about),https://quotes.toscrape.com/tag/adventure/page/1/,adventure,https://quotes.toscrape.com/tag/love/page/1/,love,,,,
“It takes courage to grow up and become who you really are.”,E.E. Cummings,https://quotes.toscrape.com/author/E-E-Cummings,(about),https://quotes.toscrape.com/tag/courage/page/1/,courage,,,,,,
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,https://quotes.toscrape.com/author/Khaled-Hosseini,(about),https://quotes.toscrape.com/tag/life/page/1/,life,,,,,,
“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,Harper Lee,https://quotes.toscrape.com/author/Harper-Lee,(about),https://quotes.toscrape.com/tag/better-life-empathy/page/1/,better-life-empathy,,,,,,
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,https://quotes.toscrape.com/author/Madeleine-LEngle,(about),https://quotes.toscrape.com/tag/books/page/1/,books,https://quotes.toscrape.com/tag/children/page/1/,children,https://quotes.toscrape.com/tag/difficult/page/1/,difficult,https://quotes.toscrape.com/tag/grown-ups/page/1/,grown-ups
“Never tell the truth to people who are not worthy of it.”,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,(about),https://quotes.toscrape.com/tag/truth/page/1/,truth,,,,,,
